# X , Y , E , DX

0.001025,-nan(ind),-nan(ind),0
0.00107625,-nan(ind),-nan(ind),0
0.00113006,-nan(ind),-nan(ind),0
0.00118657,-nan(ind),-nan(ind),0
0.00124589,-nan(ind),-nan(ind),0
0.00130819,-nan(ind),-nan(ind),0
0.0013736,-nan(ind),-nan(ind),0
0.00144228,-nan(ind),-nan(ind),0
0.00151439,-nan(ind),-nan(ind),0
0.00159011,-nan(ind),-nan(ind),0
0.00166962,-nan(ind),-nan(ind),0
0.0017531,-nan(ind),-nan(ind),0
0.00184075,-nan(ind),-nan(ind),0
0.00193279,-nan(ind),-nan(ind),0
0.00202943,-nan(ind),-nan(ind),0
0.0021309,-nan(ind),-nan(ind),0
0.00223745,-nan(ind),-nan(ind),0
0.00234932,-nan(ind),-nan(ind),0
0.00246678,-nan(ind),-nan(ind),0
0.00259012,-nan(ind),-nan(ind),0
0.00271963,-nan(ind),-nan(ind),0
0.00285561,-nan(ind),-nan(ind),0
0.00299839,-nan(ind),-nan(ind),0
0.00314831,-nan(ind),-nan(ind),0
0.00330573,-nan(ind),-nan(ind),0
0.00347101,-nan(ind),-nan(ind),0
0.00364456,-nan(ind),-nan(ind),0
0.00382679,-nan(ind),-nan(ind),0
0.00401813,-nan(ind),-nan(ind),0
0.00421904,-nan(ind),-nan(ind),0
0.00442999,-nan(ind),-nan(ind),0
0.00465149,-nan(ind),-nan(ind),0
0.00488407,-nan(ind),-nan(ind),0
0.00512827,-nan(ind),-nan(ind),0
0.00538468,-nan(ind),-nan(ind),0
0.00565392,-nan(ind),-nan(ind),0
0.00593661,-nan(ind),-nan(ind),0
0.00623344,-nan(ind),-nan(ind),0
0.00654511,-nan(ind),-nan(ind),0
0.00687237,-nan(ind),-nan(ind),0
0.00721599,-nan(ind),-nan(ind),0
0.00757679,-nan(ind),-nan(ind),0
0.00795563,-nan(ind),-nan(ind),0
0.00835341,-nan(ind),-nan(ind),0
0.00877108,-nan(ind),-nan(ind),0
0.00920963,-nan(ind),-nan(ind),0
0.00967011,-nan(ind),-nan(ind),0
0.0101536,-nan(ind),-nan(ind),0
0.0106613,-nan(ind),-nan(ind),0
0.0111944,-nan(ind),-nan(ind),0
0.0117541,-nan(ind),-nan(ind),0
0.0123418,-nan(ind),-nan(ind),0
0.0129589,-nan(ind),-nan(ind),0
0.0136068,-nan(ind),-nan(ind),0
0.0142872,-nan(ind),-nan(ind),0
0.0150015,-nan(ind),-nan(ind),0
0.0157516,-nan(ind),-nan(ind),0
0.0165392,-nan(ind),-nan(ind),0
0.0173661,-nan(ind),-nan(ind),0
0.0182344,-nan(ind),-nan(ind),0
0.0191462,-nan(ind),-nan(ind),0
0.0201035,-nan(ind),-nan(ind),0
0.0211086,-nan(ind),-nan(ind),0
0.0221641,-nan(ind),-nan(ind),0
0.0232723,-nan(ind),-nan(ind),0
0.0244359,-nan(ind),-nan(ind),0
0.0256577,-nan(ind),-nan(ind),0
0.0269406,-nan(ind),-nan(ind),0
0.0282876,-nan(ind),-nan(ind),0
0.029702,-nan(ind),-nan(ind),0
0.0311871,-nan(ind),-nan(ind),0
0.0327464,-nan(ind),-nan(ind),0
0.0343838,-nan(ind),-nan(ind),0
0.036103,-nan(ind),-nan(ind),0
0.0379081,-nan(ind),-nan(ind),0
0.0398035,-nan(ind),-nan(ind),0
0.0417937,-nan(ind),-nan(ind),0
0.0438834,-nan(ind),-nan(ind),0
0.0460775,-nan(ind),-nan(ind),0
0.0483814,-nan(ind),-nan(ind),0
0.0508005,-nan(ind),-nan(ind),0
0.0533405,-nan(ind),-nan(ind),0
0.0560075,1.60299,0.196977,0.00123144
0.0588079,1.45097,0.0964262,0.00133656
0.0617483,1.53662,0.0710007,0.00141248
0.0648357,1.55683,0.0546699,0.00148267
0.0680775,1.59863,0.0439422,0.00155447
