# X , Y , E , DX

0.00233111,0,0,0
0.00244767,1972.78,423.931,0.000722565
0.00257005,1029.06,178.434,0.000751103
0.00269855,821.347,105.146,0.000759031
0.00283348,851.812,70.0898,0.000769542
0.00297515,753.683,49.9657,0.000795114
0.00312391,594.998,34.9558,0.00082765
0.00328011,468.59,25.0961,0.000836879
0.00344411,405.521,18.8896,0.0008727
0.00361632,353.424,14.783,0.000886006
0.00379714,275.835,11.0054,0.000922819
0.00398699,232.947,8.68218,0.000942415
0.00418634,195.465,6.85445,0.000976544
0.00439566,170.677,5.56095,0.00101078
0.00461544,134.358,4.32034,0.00104915
0.00484621,118.888,3.57437,0.00107141
0.00508852,97.7978,2.89268,0.0011176
0.00534295,79.2009,2.31908,0.00116974
0.0056101,67.7799,1.92421,0.00120128
0.0058906,56.4833,1.59079,0.00125267
0.00618513,44.9852,1.28967,0.00130679
0.00649439,38.0508,1.08877,0.00133883
0.00681911,33.3519,0.94214,0.00140022
0.00716006,27.3852,0.775539,0.00143598
0.00751807,23.2745,0.660128,0.00149695
0.00789397,19.7616,0.564357,0.00155329
0.00828867,16.4019,0.479307,0.00159719
0.0087031,13.4702,0.405184,0.00164121
0.00913826,11.5054,0.353426,0.00169815
0.00959517,9.92254,0.309524,0.00174614
0.0100749,7.41699,0.251325,0.00177381
0.0105787,6.62148,0.22463,0.00183848
0.0111076,5.48147,0.194155,0.00192868
0.011663,4.71929,0.168201,0.00194509
0.0122461,3.73942,0.143173,0.00201298
0.0128584,3.51304,0.133646,0.0020756
0.0135014,2.85335,0.112506,0.00210083
0.0141764,2.25607,0.0962913,0.00216157
0.0148853,1.97323,0.0870225,0.00222936
0.0156295,1.66791,0.0771122,0.00230025
0.016411,1.3538,0.0656104,0.00234113
0.0172315,1.28353,0.0589345,0.0023796
0.0180931,1.07013,0.0516236,0.00244255
0.0189978,0.931742,0.0454434,0.0024996
0.0199477,0.810179,0.0394813,0.00253043
0.0209451,0.728191,0.0365367,0.00259447
0.0219923,0.695941,0.0328875,0.00268319
0.0230919,0.632546,0.0300538,0.00274228
0.0242465,0.592774,0.027454,0.00285912
0.0254588,0.569448,0.0248218,0.00293359
0.0267318,0.505375,0.0226605,0.0029954
0.0280684,0.469657,0.0202081,0.0031032
0.0294718,0.442763,0.0186258,0.00315042
0.0309454,0.435832,0.0177946,0.00321338
0.0324927,0.446637,0.0167658,0.00328552
0.0341173,0.414523,0.0151985,0.0033587
0.0358232,0.406489,0.0141455,0.00334339
0.0376143,0.405122,0.0135875,0.00350273
0.039495,0.408606,0.0127091,0.00352257
0.0414698,0.402824,0.0119552,0.00363653
0.0435433,0.361508,0.0107656,0.00370115
0.0457204,0.360419,0.0103044,0.0038491
0.0480065,0.358295,0.00956781,0.00385653
0.0504068,0.365071,0.00917718,0.00384367
0.0529271,0.348433,0.00854387,0.00396445
0.0555735,0.355869,0.00816822,0.00404814
0.0583521,0.343042,0.00767429,0.00412654
0.0612697,0.347726,0.00726675,0.00416648
0.0643332,0.339409,0.00686134,0.00429037
0.0675499,0.346954,0.00659038,0.00439352
0.0709274,0.338732,0.00630113,0.00442366
0.0744738,0.342878,0.00600839,0.00457367
0.0781974,0.325497,0.00562885,0.00464676
0.0821073,0.334873,0.00549641,0.00474204
0.0862127,0.340884,0.00529837,0.0048316
0.0905233,0.353618,0.00521263,0.00491133
0.0950495,0.40877,0.00540136,0.00506439
0.099802,0.611914,0.00636626,0.00524807
0.104792,1.30751,0.00893295,0.00515499
0.110032,1.63954,0.00968389,0.00519473
0.115533,0.914018,0.00707118,0.00552423
0.12131,0.495439,0.00509688,0.00569341
0.127375,0.377779,0.00437795,0.00569304
0.133744,0.346756,0.00408129,0.00576045
0.140431,0.336198,0.00392564,0.00582567
0.147453,0.321643,0.00377649,0.00594274
0.154826,0.315845,0.00362781,0.00603537
0.162567,0.310039,0.00351713,0.00616452
0.170695,0.304551,0.00341955,0.00633176
0.17923,0.301758,0.00331978,0.00640388
0.188191,0.302044,0.00322283,0.00658678
0.197601,0.315603,0.00321537,0.00672012
0.207481,0.36315,0.00334806,0.00681673
0.217855,0.420834,0.00349177,0.0069874
0.228748,0.33297,0.00302407,0.00722976
0.240185,0.29887,0.002781,0.00734003
0.252195,0.291914,0.00267363,0.00753081
0.264804,0.294666,0.00261229,0.00776567
0.278045,0.293677,0.00254802,0.00797503
0.291947,0.29277,0.00249126,0.00823963
0.306544,0.305894,0.00249919,0.00851426
0.321871,0.345193,0.00261558,0.00875918
0.337965,0.308331,0.002451,0.00906463
0.354863,0.287828,0.00235732,0.00938731
0.372606,0.279286,0.00232143,0.00975067
0.391237,0.282961,0.00233639,0.0101124
0.410798,0.283351,0.00235012,0.0105122
0.431338,0.290674,0.00239154,0.0109953
0.452905,0.27804,0.00236972,0.0114986
0.475551,0.275511,0.00240527,0.0119792
0.499328,0.269884,0.00242037,0.0125633
0.524294,0.27331,0.00248429,0.0131351
0.550509,0.270872,0.00253671,0.0137932
