index,T_EmptyBeam,T_Sample,Sample,thickness [cm],mask_transmission,mask,BlockedBeam,suffix,additional_description,T_BlockedBeam,mask_transmission_estimate_multiple,StartTime,EndTime
,,,,,,,,,,,,,
0,BBY0017711,BBY0017709,BBY0017712,0.1,transmission_mask_5199,scattering_mask_6123,BBY0017715,EmptyCell,,,,,
1,BBY0017711,BBY0017710,BBY0017713,0.1,transmission_mask_5199,scattering_mask_6123,BBY0017715,H2O,,,,,
100,BBY0017711,BBY0017710,BBY0017713,0.1,transmission_mask_5199,scattering_mask_6123_rear,BBY0017715,H2O,rear,,,,
101,BBY0017711,BBY0017710,BBY0017713,0.1,transmission_mask_5199,scattering_mask_6123_lr,BBY0017715,H2O,lr,,,,
102,BBY0017711,BBY0017710,BBY0017713,0.1,transmission_mask_5199,scattering_mask_6123_ud,BBY0017715,H2O,ud,,,,
,,,,,,,,,,,,,
2,BBY0017711,BBY0017711,BBY0017714,0.1,transmission_mask_5199,scattering_mask_6123,BBY0017715,EmptyBeam,,,,,
,,,,,,,,,,,,,
3,BBY0017711,BBY0017709,BBY0017716,0.1,transmission_mask_5199,scattering_mask_6123,BBY0017719,EmptyCell,,,,,
4,BBY0017711,BBY0017710,BBY0017717,0.1,transmission_mask_5199,scattering_mask_6123,BBY0017719,H2O,,,,,
5,BBY0017711,BBY0017711,BBY0017718,0.1,transmission_mask_5199,scattering_mask_6123,BBY0017719,EmptyBeam,,,,,
,,,,,,,,,,,,,
6,BBY0017711,BBY0017709,BBY0017720,0.1,transmission_mask_5199,scattering_mask_6123,BBY0017723,EmptyCell,,,,,
7,BBY0017711,BBY0017710,BBY0017721,0.1,transmission_mask_5199,scattering_mask_6123,BBY0017723,H2O,,,,,
8,BBY0017711,BBY0017711,BBY0017722,0.1,transmission_mask_5199,scattering_mask_6123,BBY0017723,EmptyBeam,,,,,
,,,,,,,,,,,,,
9,BBY0017711,BBY0017709,BBY0017724,0.1,transmission_mask_5199,scattering_mask_6123,BBY0017727,EmptyCell,,,,,
10,BBY0017711,BBY0017710,BBY0017725,0.1,transmission_mask_5199,scattering_mask_6123,BBY0017727,H2O,,,,,
11,BBY0017711,BBY0017711,BBY0017726,0.1,transmission_mask_5199,scattering_mask_6123,BBY0017727,EmptyBeam,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
END,,,,,,,,,,,,,
