index,T_EmptyBeam,T_Sample,Sample,thickness [cm],mask_transmission,mask,BlockedBeam,suffix,additional_description,T_BlockedBeam,mask_transmission_estimate_multiple,StartTime,EndTime
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0,BBY0019744,BBY0019743,BBY0019749,0.1,transmission_mask_example,mask_scattering_example,BBY0019748,AgBeh,rlog_wl,,,,
,,,,,,,,,,,,,
1,BBY0011478,BBY0011480,BBY0011482,0.1,mask_generic_transmission,polyphilemask,BBY0011483,MOxs_nvs5,,,,,
2,BBY0011450,BBY0011510,BBY0011518,0.1,mask_generic_transmission,polyphilemask,BBY0010407,MOxs_TOF,,,,,
,,,,,,,,,,,,,
3,BBY0011478,BBY0011480,BBY0011482,0.1,mask_generic_transmission,polyphilemask,BBY0011483,MOxs_nvs5,lela_withNaN,,,,
4,BBY0011450,BBY0011510,BBY0011518,0.1,mask_generic_transmission,polyphilemask,BBY0010407,MOxs_TOF,lela_fine_lin,,,,
,,,,,,,,,,,,,
END,,,,,,,,,,,,,
index,,T_Sample,Sample,T_EmptyBeam,BlockedBeam,thickness [cm],mask_transmission,mask,suffix,notes,,,
,,,,,,,,,,,,,
,nvs,BBY0011480,BBY0011482,BBY0011478,BBY0011483,0.1,mask_generic_transmission,2017-03-10 PolyphileMask,MOxs_nvs5,,,,
,tof24,BBY0011510,BBY0011518,BBY0011450,BBY0010407,0.1,mask_generic_transmission,2017-03-10 PolyphileMask,MOxs_TOF,,,,
